estimator,model,subset,feat_type,fold,n_test,n_test_subjects,accuracy,balanced_accuracy,roc_auc,best_score_inner,tn,fp,fn,tp
rf,left_lateral__B,left_lateral,B,8,25,1,0.4,0.39610389610389607,0.5064935064935066,0.4921940415417443,6.0,8.0,7.0,4.0
rf,left_lateral__B,left_lateral,B,9,25,1,0.56,0.538961038961039,0.564935064935065,0.47517309060133783,10.0,4.0,7.0,4.0
rf,left_lateral__B,left_lateral,B,10,24,1,0.6666666666666666,0.6643356643356644,0.7132867132867132,0.5372201064203334,9.0,4.0,4.0,7.0
rf,left_lateral__C,left_lateral,C,1,32,1,0.78125,0.7823529411764706,0.7921568627450981,0.6817918192918193,12.0,3.0,4.0,13.0
rf,left_lateral__C,left_lateral,C,2,30,1,0.7333333333333333,0.7142857142857143,0.5982142857142857,0.7272691542402262,6.0,8.0,0.0,16.0
rf,left_lateral__C,left_lateral,C,3,29,1,0.6206896551724138,0.6285714285714286,0.680952380952381,0.701241847583311,6.0,9.0,2.0,12.0
rf,left_lateral__C,left_lateral,C,4,28,1,0.8214285714285714,0.8214285714285714,0.9438775510204082,0.7086400553502085,13.0,1.0,4.0,10.0
rf,left_lateral__C,left_lateral,C,5,28,1,0.5,0.5,0.576530612244898,0.7341861988770667,0.0,14.0,0.0,14.0
rf,left_lateral__C,left_lateral,C,6,28,1,0.7142857142857143,0.7142857142857143,0.8571428571428572,0.6544995938075915,13.0,1.0,7.0,7.0
rf,left_lateral__C,left_lateral,C,7,27,1,0.5185185185185185,0.5,0.8901098901098902,0.6530226879064088,14.0,0.0,13.0,0.0
rf,left_lateral__C,left_lateral,C,8,25,1,1.0,1.0,1.0,0.6232049446740314,14.0,0.0,0.0,11.0
rf,left_lateral__C,left_lateral,C,9,25,1,0.96,0.9642857142857143,0.961038961038961,0.627269985324438,13.0,1.0,0.0,11.0
rf,left_lateral__C,left_lateral,C,10,24,1,0.625,0.6118881118881119,0.6328671328671328,0.7083367096129433,10.0,3.0,6.0,5.0
rf,right_lateral__A,right_lateral,A,1,32,1,0.90625,0.907843137254902,0.9803921568627452,0.6369200244200245,14.0,1.0,2.0,15.0
rf,right_lateral__A,right_lateral,A,2,30,1,0.7666666666666667,0.75,0.5714285714285715,0.7290154699400304,7.0,7.0,0.0,16.0
rf,right_lateral__A,right_lateral,A,3,29,1,0.5172413793103449,0.5285714285714286,0.5333333333333333,0.7215521605765508,3.0,12.0,2.0,12.0
rf,right_lateral__A,right_lateral,A,4,28,1,0.6428571428571429,0.6428571428571428,0.6811224489795917,0.7502417069915652,10.0,4.0,6.0,8.0
rf,right_lateral__A,right_lateral,A,5,28,1,0.5,0.5,0.4693877551020408,0.7353116254137241,0.0,14.0,0.0,14.0
rf,right_lateral__A,right_lateral,A,6,28,1,0.6785714285714286,0.6785714285714286,0.9285714285714286,0.6588712699036011,14.0,0.0,9.0,5.0
rf,right_lateral__A,right_lateral,A,7,27,1,0.5185185185185185,0.5,0.8434065934065934,0.7023241616264873,14.0,0.0,13.0,0.0
rf,right_lateral__A,right_lateral,A,8,25,1,0.84,0.8181818181818181,1.0,0.6648007094688887,14.0,0.0,4.0,7.0
rf,right_lateral__A,right_lateral,A,9,25,1,0.84,0.8571428571428572,1.0,0.6726314273109507,10.0,4.0,0.0,11.0
rf,right_lateral__A,right_lateral,A,10,24,1,0.6666666666666666,0.6503496503496503,0.5034965034965035,0.7334787384418694,11.0,2.0,6.0,5.0
rf,right_lateral__B,right_lateral,B,1,32,1,0.4375,0.4509803921568627,0.3764705882352941,0.4167887667887668,10.0,5.0,13.0,4.0
rf,right_lateral__B,right_lateral,B,2,30,1,0.4,0.4107142857142857,0.3839285714285714,0.4039586964998196,8.0,6.0,12.0,4.0
rf,right_lateral__B,right_lateral,B,3,29,1,0.5172413793103449,0.5095238095238095,0.4952380952380952,0.38841984573691896,11.0,4.0,10.0,4.0
rf,right_lateral__B,right_lateral,B,4,28,1,0.42857142857142855,0.4285714285714286,0.3826530612244898,0.38610821963062464,7.0,7.0,9.0,5.0
rf,right_lateral__B,right_lateral,B,5,28,1,0.42857142857142855,0.4285714285714286,0.2602040816326531,0.43435127297861276,10.0,4.0,12.0,2.0
rf,right_lateral__B,right_lateral,B,6,28,1,0.32142857142857145,0.3214285714285714,0.19387755102040816,0.3860050266743403,8.0,6.0,13.0,1.0
rf,right_lateral__B,right_lateral,B,7,27,1,0.4444444444444444,0.45879120879120877,0.2967032967032967,0.41634583353244725,1.0,13.0,2.0,11.0
rf,right_lateral__B,right_lateral,B,8,25,1,0.36,0.3701298701298701,0.33116883116883117,0.43368536675399977,4.0,10.0,6.0,5.0
