estimator,model,subset,feat_type,fold,best_score_inner,rf__max_depth,rf__max_features,rf__n_estimators,svc__C,svc__gamma,xgb__learning_rate,xgb__max_depth,xgb__n_estimators
xgb,bis_quatro__C,bis_quatro,C,5,0.6343227737158538,,,,,,0.1,3.0,200.0
xgb,bis_quatro__C,bis_quatro,C,6,0.5746666832883509,,,,,,0.1,3.0,200.0
xgb,bis_quatro__C,bis_quatro,C,7,0.5711513702154655,,,,,,0.1,3.0,200.0
xgb,bis_quatro__C,bis_quatro,C,8,0.5920126227840351,,,,,,0.1,3.0,200.0
xgb,bis_quatro__C,bis_quatro,C,9,0.6002169822362675,,,,,,0.1,3.0,200.0
xgb,bis_quatro__C,bis_quatro,C,10,0.6305089628969379,,,,,,0.1,3.0,200.0
xgb,both_lateral__A,both_lateral,A,1,0.6395604395604396,,,,,,0.1,3.0,200.0
xgb,both_lateral__A,both_lateral,A,2,0.6921130800881228,,,,,,0.1,3.0,200.0
xgb,both_lateral__A,both_lateral,A,3,0.7138762321689152,,,,,,0.1,3.0,200.0
xgb,both_lateral__A,both_lateral,A,4,0.7056990560961065,,,,,,0.1,3.0,200.0
xgb,both_lateral__A,both_lateral,A,5,0.7195979006812813,,,,,,0.1,3.0,200.0
xgb,both_lateral__A,both_lateral,A,6,0.6248709222333726,,,,,,0.1,3.0,200.0
xgb,both_lateral__A,both_lateral,A,7,0.6543269706911227,,,,,,0.1,3.0,200.0
xgb,both_lateral__A,both_lateral,A,8,0.599962635838983,,,,,,0.1,3.0,200.0
xgb,both_lateral__A,both_lateral,A,9,0.5926811261468097,,,,,,0.1,3.0,200.0
xgb,both_lateral__A,both_lateral,A,10,0.6616270066355149,,,,,,0.1,3.0,200.0
xgb,both_lateral__B,both_lateral,B,1,0.4663461538461539,,,,,,0.1,3.0,200.0
xgb,both_lateral__B,both_lateral,B,2,0.454645137430163,,,,,,0.1,3.0,200.0
xgb,both_lateral__B,both_lateral,B,3,0.47008547008547,,,,,,0.1,3.0,200.0
xgb,both_lateral__B,both_lateral,B,4,0.46854242373244076,,,,,,0.1,3.0,200.0
xgb,both_lateral__B,both_lateral,B,5,0.46865860237953255,,,,,,0.1,3.0,200.0
xgb,both_lateral__B,both_lateral,B,6,0.45527485686305874,,,,,,0.1,3.0,200.0
xgb,both_lateral__B,both_lateral,B,7,0.4805973002229383,,,,,,0.1,3.0,200.0
xgb,both_lateral__B,both_lateral,B,8,0.5049608801735859,,,,,,0.1,3.0,200.0
xgb,both_lateral__B,both_lateral,B,9,0.48946150591074017,,,,,,0.1,3.0,200.0
xgb,both_lateral__B,both_lateral,B,10,0.5180383365295446,,,,,,0.1,3.0,200.0
xgb,both_lateral__C,both_lateral,C,1,0.6799603174603175,,,,,,0.1,3.0,200.0
xgb,both_lateral__C,both_lateral,C,2,0.6558999707042815,,,,,,0.1,3.0,200.0
xgb,both_lateral__C,both_lateral,C,3,0.6669793621013133,,,,,,0.1,3.0,200.0
