estimator,model,subset,feat_type,fold,best_score_inner,rf__max_depth,rf__max_features,rf__min_samples_leaf,rf__min_samples_split,rf__n_estimators,svc__C,svc__gamma,xgb__colsample_bytree,xgb__learning_rate,xgb__max_depth,xgb__n_estimators,xgb__subsample
svm,both_lateral__C,both_lateral,C,10,0.6802174118984463,,,,,,1.0,0.001,,,,,
svm,left_lateral__A,left_lateral,A,1,0.7053571428571428,,,,,,100.0,0.001,,,,,
svm,left_lateral__A,left_lateral,A,2,0.7084188560481663,,,,,,100.0,0.01,,,,,
svm,left_lateral__A,left_lateral,A,3,0.7039708551469319,,,,,,1.0,0.01,,,,,
svm,left_lateral__A,left_lateral,A,4,0.7071615733333896,,,,,,100.0,0.01,,,,,
svm,left_lateral__A,left_lateral,A,5,0.7410550339731209,,,,,,1.0,0.01,,,,,
svm,left_lateral__A,left_lateral,A,6,0.700696473275985,,,,,,0.1,scale,,,,,
svm,left_lateral__A,left_lateral,A,7,0.7063576598139588,,,,,,10.0,scale,,,,,
svm,left_lateral__A,left_lateral,A,8,0.6467683388940748,,,,,,100.0,0.01,,,,,
svm,left_lateral__A,left_lateral,A,9,0.6638919760503024,,,,,,100.0,0.01,,,,,
svm,left_lateral__A,left_lateral,A,10,0.6898643741316155,,,,,,1.0,0.01,,,,,
svm,left_lateral__B,left_lateral,B,1,0.531415343915344,,,,,,1.0,0.01,,,,,
svm,left_lateral__B,left_lateral,B,2,0.5817198047801496,,,,,,1.0,0.01,,,,,
svm,left_lateral__B,left_lateral,B,3,0.5428254134542038,,,,,,1.0,scale,,,,,
svm,left_lateral__B,left_lateral,B,4,0.5288271125786618,,,,,,10.0,0.001,,,,,
svm,left_lateral__B,left_lateral,B,5,0.5468167735594476,,,,,,1.0,scale,,,,,
svm,left_lateral__B,left_lateral,B,6,0.5448617835824023,,,,,,10.0,0.001,,,,,
svm,left_lateral__B,left_lateral,B,7,0.5400343136014973,,,,,,100.0,0.01,,,,,
svm,left_lateral__B,left_lateral,B,8,0.538535861391202,,,,,,1.0,0.001,,,,,
svm,left_lateral__B,left_lateral,B,9,0.5526418143112845,,,,,,1.0,0.001,,,,,
svm,left_lateral__B,left_lateral,B,10,0.5,,,,,,0.1,scale,,,,,
svm,left_lateral__C,left_lateral,C,1,0.7093253968253969,,,,,,1.0,0.01,,,,,
