estimator,model,subset,feat_type,fold,n_test,n_test_subjects,accuracy,balanced_accuracy,roc_auc,best_score_inner,tn,fp,fn,tp
rf,right_lateral__C,right_lateral,C,3,29,1,0.5517241379310345,0.5666666666666667,0.5428571428571428,0.7355253774914812,2.0,13.0,0.0,14.0
rf,right_lateral__C,right_lateral,C,4,28,1,0.4642857142857143,0.4642857142857143,0.6632653061224489,0.7435856719642298,2.0,12.0,3.0,11.0
rf,right_lateral__C,right_lateral,C,5,28,1,0.5,0.5,0.4795918367346939,0.7566329836716826,0.0,14.0,0.0,14.0
rf,right_lateral__C,right_lateral,C,6,28,1,0.6428571428571429,0.6428571428571428,0.8418367346938775,0.7144027673262213,14.0,0.0,10.0,4.0
rf,right_lateral__C,right_lateral,C,7,27,1,0.5185185185185185,0.5,0.6813186813186813,0.7422839847726971,14.0,0.0,13.0,0.0
rf,right_lateral__C,right_lateral,C,8,25,1,0.88,0.8636363636363636,0.9545454545454546,0.6943831504912246,14.0,0.0,3.0,8.0
rf,right_lateral__C,right_lateral,C,9,25,1,0.76,0.7857142857142857,1.0,0.6858826098207932,8.0,6.0,0.0,11.0
rf,right_lateral__C,right_lateral,C,10,24,1,0.5833333333333334,0.5734265734265734,0.4895104895104895,0.7148541114058355,9.0,4.0,6.0,5.0
svm,bis_quatro__A,bis_quatro,A,1,32,1,0.65625,0.6568627450980392,0.7411764705882353,0.663690476190476,10.0,5.0,6.0,11.0
svm,bis_quatro__A,bis_quatro,A,2,30,1,0.7,0.6785714285714286,0.6517857142857143,0.6750307881773399,5.0,9.0,0.0,16.0
svm,bis_quatro__A,bis_quatro,A,3,29,1,0.6551724137931034,0.6547619047619048,0.7238095238095238,0.6838737637009074,10.0,5.0,5.0,9.0
svm,bis_quatro__A,bis_quatro,A,4,28,1,0.4642857142857143,0.4642857142857143,0.576530612244898,0.6971792683746559,10.0,4.0,11.0,3.0
svm,bis_quatro__A,bis_quatro,A,5,28,1,0.5,0.5,0.9540816326530612,0.6848770472461876,0.0,14.0,0.0,14.0
